episode,total_reward
0,570.0
1,600.0
2,570.0
3,410.0
4,620.0
5,610.0
6,650.0
7,550.0
8,630.0
9,840.0
10,600.0
11,710.0
12,570.0
13,300.0
14,740.0
15,410.0
16,460.0
17,760.0
18,700.0
19,570.0
20,410.0
21,910.0
22,460.0
23,690.0
24,740.0
25,870.0
26,680.0
27,640.0
28,490.0
29,650.0
30,920.0
31,640.0
32,540.0
33,750.0
34,490.0
35,590.0
36,860.0
37,660.0
38,530.0
39,500.0
40,730.0
41,500.0
42,600.0
43,950.0
44,790.0
45,780.0
46,660.0
47,760.0
48,880.0
49,410.0
50,470.0
51,720.0
52,750.0
53,760.0
54,430.0
55,460.0
56,400.0
57,720.0
58,800.0
59,600.0
60,420.0
61,730.0
62,550.0
63,470.0
64,450.0
65,500.0
66,630.0
67,550.0
68,600.0
69,460.0
70,450.0
71,560.0
72,720.0
73,680.0
74,940.0
75,590.0
76,720.0
77,720.0
78,690.0
79,330.0
80,600.0
81,490.0
82,370.0
83,750.0
84,620.0
85,480.0
86,750.0
87,610.0
88,490.0
89,990.0
90,880.0
91,490.0
92,510.0
93,590.0
94,510.0
95,690.0
96,650.0
97,550.0
98,550.0
99,660.0
